institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_interdep,,11,4,ocbc_4q24_p3,nsfr_dec24,11,4,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Weighted value,,1,,-,null,0,1,asf_interdep,,11,5,ocbc_4q24_p3,nsfr_dec24,11,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,11,ASF Item,Other liabilities:,,,,2,Unweighted value by residual maturity,No Maturity,2,5558.0,"5,558",reported,0,1,asf_other,,12,1,ocbc_4q24_p3,nsfr_dec24,12,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,11,ASF Item,Other liabilities:,,,,2,Unweighted value by residual maturity,< 6 months,2,11518.0,"11,518",reported,0,3,asf_other,,12,2,ocbc_4q24_p3,nsfr_dec24,12,2,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,11,ASF Item,Other liabilities:,,,,2,Weighted value,,1,158.0,158,reported,0,1,asf_other,,12,5,ocbc_4q24_p3,nsfr_dec24,12,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,12,ASF Item,Other liabilities:,NSFR derivative liabilities,,,3,Unweighted value by residual maturity,No Maturity,2,,,empty,1,1,asf_other_deriv,,13,1,ocbc_4q24_p3,nsfr_dec24,13,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,12,ASF Item,Other liabilities:,NSFR derivative liabilities,,,3,Unweighted value by residual maturity,< 6 months,2,5046.0,"5,046",reported,0,3,asf_other_deriv,,13,2,ocbc_4q24_p3,nsfr_dec24,13,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,12,ASF Item,Other liabilities:,NSFR derivative liabilities,,,3,Weighted value,,1,,,empty,1,1,asf_other_deriv,,13,5,ocbc_4q24_p3,nsfr_dec24,13,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,No Maturity,2,5558.0,"5,558",reported,0,1,asf_other_rest,,14,1,ocbc_4q24_p3,nsfr_dec24,14,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,< 6 months,2,6311.0,"6,311",reported,0,1,asf_other_rest,,14,2,ocbc_4q24_p3,nsfr_dec24,14,2,2
