institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,No Maturity,2,,-,null,0,1,asf_interdep,,11,1,dbs_4q23_p3,nsfr_dec23,11,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,< 6 months,2,986.0,986,reported,0,1,asf_interdep,,11,2,dbs_4q23_p3,nsfr_dec23,11,2,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_interdep,,11,3,dbs_4q23_p3,nsfr_dec23,11,3,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_interdep,,11,4,dbs_4q23_p3,nsfr_dec23,11,4,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Weighted value,,1,,-,null,0,1,asf_interdep,,11,5,dbs_4q23_p3,nsfr_dec23,11,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,11,ASF Item,Other liabilities:,,,,2,Unweighted value by residual maturity,No Maturity,2,15536.0,"15,536",reported,0,1,asf_other,,12,1,dbs_4q23_p3,nsfr_dec23,12,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,11,ASF Item,Other liabilities:,,,,2,Unweighted value by residual maturity,< 6 months,2,4535.0,"4,535",reported,0,3,asf_other,,12,2,dbs_4q23_p3,nsfr_dec23,12,2,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,11,ASF Item,Other liabilities:,,,,2,Weighted value,,1,1777.0,"1,777",reported,0,1,asf_other,,12,5,dbs_4q23_p3,nsfr_dec23,12,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,12,ASF Item,Other liabilities:,NSFR derivative liabilities,,,3,Unweighted value by residual maturity,No Maturity,2,,,empty,1,1,asf_other_deriv,,13,1,dbs_4q23_p3,nsfr_dec23,13,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,12,ASF Item,Other liabilities:,NSFR derivative liabilities,,,3,Unweighted value by residual maturity,< 6 months,2,3763.0,"3,763",reported,0,3,asf_other_deriv,,13,2,dbs_4q23_p3,nsfr_dec23,13,2,2
