check,detail
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=605 (ratio=0.00099, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=-3159 (ratio=0.0052, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=-2554 (ratio=0.0042, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=9 (ratio=1.5e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=6 (ratio=9.8e-06, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=9 (ratio=1.5e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.total 2025-12-31: as_at=828572 vs NULL=9 (ratio=1.1e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.total 2025-12-31: as_at=828572 vs NULL=7 (ratio=8.4e-06, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.total 2025-12-31: as_at=828572 vs NULL=9 (ratio=1.1e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.assets.total 2026-03-31: as_at=935365 vs NULL=11 (ratio=1.2e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.assets.total 2026-03-31: as_at=935365 vs NULL=4 (ratio=4.3e-06, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=9 (ratio=2.8e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=18 (ratio=5.5e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=7126 (ratio=0.022, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=4.59 (ratio=1.4e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=18 (ratio=5.5e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=7126 (ratio=0.022, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 1H=4.59 (ratio=1.4e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 2Q=12 (ratio=3.7e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs 2Q=12 (ratio=3.7e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs NULL=498 (ratio=0.0015, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs NULL=-1176 (ratio=0.0036, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs NULL=-678 (ratio=0.0021, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs NULL=498 (ratio=0.0015, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs NULL=-1176 (ratio=0.0036, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor bs.assets.customer_loans_gross 2025-06-30: as_at=324606 vs NULL=-678 (ratio=0.0021, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 1H=159 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 1H=144 (ratio=0.11, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 1H=-159 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 1H=144 (ratio=0.11, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 1H=159 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 2Q=65 (ratio=0.049, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 2Q=-65 (ratio=0.049, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs 2Q=65 (ratio=0.049, seg=SEG_TOTAL, geo=GLOBAL)"
