institution,concept_key,concept_name,period,period_span,segment_key,geo_key,industry_key,legal_entity,n_candidates,competing_values,competing_sources,chosen_value
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2022-03-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,35090 | 222260 | 228105 | 350897 | 350956,35090@tier9:overview_of_risk_weighted_assets || 222260@tier9:irba_rwa_flow_statement_for_credit_risk_exposures || 228105@tier9:irba_rwa_flow_statement_for_credit_risk_exposures || 350897@tier9:overview_of_risk_weighted_assets || 350956@tier9:capital_adequacy,35090.0
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2022-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,322451 | 330556 | 337593 | 342691 | 350897,322451@tier9:overview_of_key_prudential_regulatory_metrics || 330556@tier9:overview_of_key_prudential_regulatory_metrics || 337593@tier9:overview_of_key_prudential_regulatory_metrics || 342691@tier9:overview_of_key_prudential_regulatory_metrics || 350897@tier9:overview_of_key_prudential_regulatory_metrics,322451.0
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2022-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,337593 | 342691 | 349078 | 350897 | 361452,337593@tier9:overview_of_key_prudential_regulatory_metrics || 342691@tier9:overview_of_key_prudential_regulatory_metrics || 349078@tier9:overview_of_key_prudential_regulatory_metrics || 350897@tier9:overview_of_key_prudential_regulatory_metrics || 361452@tier9:overview_of_key_prudential_regulatory_metrics,337593.0
DBS Group Holdings Ltd,reg.liquidity.lcr_ratio,Liquidity Coverage Ratio,2026-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,145 | 147 | 149 | 151 | 155,145@tier9:overview_of_key_prudential_regulatory_metrics || 147@tier9:overview_of_key_prudential_regulatory_metrics || 149@tier9:overview_of_key_prudential_regulatory_metrics || 151@tier9:overview_of_key_prudential_regulatory_metrics || 155@tier9:overview_of_key_prudential_regulatory_metrics,145.0
DBS Group Holdings Ltd,reg.liquidity.lcr_ratio,Liquidity Coverage Ratio,2025-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,144 | 147,144@tier9:overview_of_key_prudential_regulatory_metrics || 147@tier9:overview_of_key_prudential_regulatory_metrics,145.0
DBS Group Holdings Ltd,reg.liquidity.lcr_ratio,Liquidity Coverage Ratio,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,144 | 147 | 149,144@tier9:overview_of_key_prudential_regulatory_metrics || 147@tier9:overview_of_key_prudential_regulatory_metrics || 149@tier9:overview_of_key_prudential_regulatory_metrics,145.0
DBS Group Holdings Ltd,reg.liquidity.lcr_ratio,Liquidity Coverage Ratio,2022-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,131 | 135,131@tier9:overview_of_key_prudential_regulatory_metrics || 135@tier9:overview_of_key_prudential_regulatory_metrics,135.0
DBS Group Holdings Ltd,reg.liquidity.lcr_ratio,Liquidity Coverage Ratio,2022-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,131 | 133 | 135 | 138 | 142,131@tier9:overview_of_key_prudential_regulatory_metrics || 133@tier9:overview_of_key_prudential_regulatory_metrics || 135@tier9:overview_of_key_prudential_regulatory_metrics || 138@tier9:overview_of_key_prudential_regulatory_metrics || 142@tier9:overview_of_key_prudential_regulatory_metrics,131.0
DBS Group Holdings Ltd,reg.liquidity.nsfr_ratio,Net Stable Funding Ratio,2026-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,114 | 117,114@tier9:overview_of_key_prudential_regulatory_metrics || 117@tier9:overview_of_key_prudential_regulatory_metrics,114.0
DBS Group Holdings Ltd,reg.liquidity.nsfr_ratio,Net Stable Funding Ratio,2022-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,122 | 127,122@tier9:overview_of_key_prudential_regulatory_metrics || 127@tier9:overview_of_key_prudential_regulatory_metrics,127.0
DBS Group Holdings Ltd,reg.liquidity.nsfr_ratio,Net Stable Funding Ratio,2022-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,114 | 118 | 122 | 127,114@tier9:overview_of_key_prudential_regulatory_metrics || 118@tier9:overview_of_key_prudential_regulatory_metrics || 122@tier9:overview_of_key_prudential_regulatory_metrics || 127@tier9:overview_of_key_prudential_regulatory_metrics,122.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2024-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,7847 | 294056 | 299980 | 15,7847@tier0:average_balance_sheet || 294056@tier0:average_balance_sheet || 299980@tier1:financial_highlights || 15@tier9:credit_costs_bps_1,7847.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.npa,Non-performing assets / loans,2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,2983 | 3009,"2983@tier9:npls_by_industry || 3009@tier9:asset_quality_and_allowances,npas_by_period_overdue,npls_by_industry",3009.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.npa,Non-performing assets / loans,2024-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,2817 | 2901,"2817@tier9:npls_by_industry || 2901@tier9:asset_quality_and_allowances,npas_by_period_overdue,npls_by_industry",2901.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2024-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,370 | 369835 | 383296,370@tier9:strong_funding_liquidity_and_capital_position || 369835@tier9:deposits || 383296@tier9:deposits,369835.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-06-30,2Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,1816 | 1822,"1816@tier1:financial_highlights,second_quarter_2025_performance,third_quarter_2025_performance || 1822@tier1:financial_highlights",1816.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-09-30,3Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,1978 | 1983,"1978@tier1:financial_highlights,financial_highlights_unaudited,fourth_quarter_2025_performance,third_quarter_2025_performance || 1983@tier1:financial_highlights_unaudited",1978.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-03-31,1Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,1982 | 2007,"1982@tier1:financial_highlights_unaudited,first_quarter_2025_performance || 2007@tier1:financial_highlights_unaudited",1982.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,3899 | 369172,"3899@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 369172@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income",3899.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,3520 | 358014,"3520@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 358014@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income",3520.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2024-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,15467 | 668473 | 533081,"15467@tier0:average_balance_sheet || 668473@tier0:average_balance_sheet,net_interest_income || 533081@tier2:net_interest_income",668473.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,896 | 5092 | 554435 | 576311,896@tier2:net_interest_income || 5092@tier2:net_interest_income || 554435@tier2:net_interest_income || 576311@tier2:net_interest_income,896.0
